D4yPrior_Date,Realized_4yPremium,T4yPrior_SIFMA,T4yPrior_1ySwap,T4yPrior_2ySwap,T4yPrior_3ySwap,T4yPrior_4ySwap,T4yPrior_5ySwap
4/25/2018,1.27,1.75,1.665,1.862,1.983,2.06,2.12
4/18/2018,1.21,1.81,1.644,1.832,1.939,2,2.05
4/11/2018,1.13,1.72,1.589,1.772,1.869,1.93,1.98
4/4/2018,1.15,1.6,1.577,1.772,1.877,1.95,2
3/28/2018,1.11,1.58,1.556,1.747,1.847,1.92,1.98
3/21/2018,1.18,1.36,1.583,1.787,1.905,1.99,2.05
3/14/2018,1.13,1.22,1.552,1.755,1.866,1.95,2.01
3/7/2018,1.13,1.13,1.518,1.731,1.854,1.95,2.02
2/28/2018,1.11,1.09,1.517,1.721,1.836,1.93,2
2/21/2018,1.14,1.09,1.493,1.715,1.857,1.96,2.04
2/14/2018,1.07,1,1.436,1.646,1.79,1.9,1.98
2/7/2018,1.01,0.98,1.411,1.606,1.741,1.84,1.93
1/31/2018,0.97,1.08,1.39,1.586,1.719,1.81,1.88
1/24/2018,0.93,1.16,1.397,1.572,1.681,1.77,1.84
1/17/2018,0.89,1.23,1.411,1.565,1.649,1.74,1.82
1/10/2018,0.81,1.31,1.373,1.498,1.573,1.66,1.74
1/3/2018,0.74,1.47,1.336,1.454,1.522,1.61,1.67
12/27/2017,0.71,1.71,1.308,1.429,1.498,1.58,1.64
12/20/2017,0.72,1.4,1.291,1.43,1.505,1.6,1.67
12/13/2017,0.64,1.11,1.177,1.332,1.423,1.52,1.59
12/6/2017,0.64,1,1.161,1.33,1.425,1.52,1.6
11/29/2017,0.62,0.97,1.138,1.304,1.403,1.51,1.59
11/22/2017,0.58,0.96,1.139,1.279,1.377,1.47,1.56
11/15/2017,0.55,0.94,1.114,1.254,1.347,1.45,1.53
11/8/2017,0.54,0.92,1.102,1.243,1.339,1.45,1.54
11/1/2017,0.55,0.92,1.091,1.24,1.345,1.46,1.55
10/25/2017,0.56,0.92,1.072,1.231,1.344,1.47,1.57
10/18/2017,0.53,0.91,1.101,1.238,1.341,1.45,1.54
10/11/2017,0.5,0.91,1.089,1.216,1.313,1.42,1.51
10/4/2017,0.47,0.92,1.063,1.189,1.286,1.39,1.48
9/27/2017,0.45,0.94,1.027,1.164,1.268,1.37,1.47
